"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"108010","Bovisio-Masciago","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",16892,"e","dato stimato"
"020007","Bozzolo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",3982,"e","dato stimato"
"016035","Bracca","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",723,"e","dato stimato"
"018021","Brallo di Pregola","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",528,"e","dato stimato"
"016038","Brembate di Sopra","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",7863,"e","dato stimato"
"098006","Brembio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2651,"e","dato stimato"
"013030","Brienno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",332,"e","dato stimato"
"016040","Brignano Gera d'Adda","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",6065,"e","dato stimato"
"012021","Brinzio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",789,"e","dato stimato"
"017030","Brione","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",736,"e","dato stimato"
"108011","Briosco","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",6064,"e","dato stimato"
"012022","Brissago-Valtravaglia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1215,"e","dato stimato"
"097010","Brivio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4462,"e","dato stimato"
"018024","Broni","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",9353,"e","dato stimato"
"108012","Brugherio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",34788,"e","dato stimato"
"016041","Brumano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",113,"e","dato stimato"
"013032","Brunate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1641,"e","dato stimato"
"012023","Brunello","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",944,"e","dato stimato"
"016042","Brusaporto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",5574,"e","dato stimato"
"012024","Brusimpiano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1163,"e","dato stimato"
